work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_size,salary_binned
2024,EN,FT,Other,80769,Other,0,M,0
2024,SE,FT,Other,108500,US,100,M,0
2024,SE,FT,Other,78800,US,100,M,0
2024,MI,FT,Other,385000,US,0,M,3
2024,MI,FT,Other,200000,US,0,M,1
2024,SE,FT,Data Scientist,297000,US,0,M,2
2024,SE,FT,Data Scientist,138000,US,0,M,1
2024,MI,FT,Data Scientist,198000,US,0,M,1
2024,MI,FT,Data Scientist,140000,US,0,M,1
2023,SE,FT,Other,46848,Other,0,M,0
2024,EN,FT,Machine Learning Engineer,130400,US,0,M,0
2024,EN,FT,Machine Learning Engineer,74500,US,0,M,0
2024,SE,FT,Other,212000,Other,0,M,1
2024,SE,FT,Other,93400,Other,0,M,0
2024,MI,FT,Other,142000,Other,0,M,1
2024,MI,FT,Other,91300,Other,0,M,0
2024,SE,FT,Other,166000,US,0,M,1
2024,SE,FT,Other,73100,US,0,M,0
2024,EN,FT,Data Scientist,133000,US,0,M,1
2024,EN,FT,Data Scientist,58400,US,0,M,0
2024,SE,FT,Data Scientist,204600,US,0,M,1
2024,SE,FT,Data Scientist,84500,US,0,M,0
2024,MI,FT,Data Scientist,176000,US,0,M,1
2024,MI,FT,Data Scientist,72700,US,0,M,0
2024,EN,FT,Data Analyst,92000,US,100,M,0
2024,EN,FT,Data Analyst,65000,US,100,M,0
2024,SE,FT,Data Engineer,231000,US,100,M,2
2024,SE,FT,Data Engineer,141000,US,100,M,1
2024,SE,FT,Data Scientist,162819,US,100,M,1
2024,SE,FT,Data Scientist,95776,US,100,M,0
2024,MI,FT,Other,222200,US,0,L,1
2024,MI,FT,Other,136000,US,0,L,1
2024,MI,FT,Data Engineer,138278,US,0,M,1
2024,MI,FT,Data Engineer,86424,US,0,M,0
2024,SE,FT,Other,130500,US,0,M,0
2024,SE,FT,Other,96000,US,0,M,0
2024,SE,FT,Other,175000,US,0,M,1
2024,SE,FT,Other,117000,US,0,M,0
2024,MI,FT,Data Engineer,122100,US,0,M,0
2024,MI,FT,Data Engineer,75500,US,0,M,0
2024,MI,FT,Other,250000,US,0,M,2
2024,MI,FT,Other,200000,US,0,M,1
2024,MI,FT,Other,117000,US,0,M,0
2024,MI,FT,Other,99600,US,0,M,0
2024,EN,FT,Data Engineer,162240,US,0,M,1
2024,EN,FT,Data Engineer,47840,US,0,M,0
2024,MI,FT,Data Scientist,231250,US,0,M,2
2024,MI,FT,Data Scientist,111000,US,0,M,0
2024,SE,FT,Data Engineer,277000,US,0,M,2
2024,SE,FT,Data Engineer,173000,US,0,M,1
2024,MI,FT,Other,128000,US,0,M,0
2024,MI,FT,Other,81500,US,0,M,0
2024,SE,FT,Data Scientist,202800,US,0,M,1
2024,SE,FT,Data Scientist,115000,US,0,M,0
2024,EN,FT,Data Analyst,65000,US,0,M,0
2024,EN,FT,Data Analyst,55751,US,0,M,0
2024,SE,FT,Other,165000,US,100,M,1
2024,SE,FT,Other,150000,US,100,M,1
2024,SE,FT,Other,257250,US,100,M,2
2024,SE,FT,Other,99750,US,100,M,0
2024,SE,FT,Other,169767,Other,0,M,1
2024,SE,FT,Other,136420,Other,0,M,1
2024,MI,FT,Other,100000,US,0,M,0
2024,MI,FT,Other,95000,US,0,M,0
2024,MI,FT,Data Scientist,147800,US,0,M,1
2024,MI,FT,Data Scientist,93100,US,0,M,0
2024,MI,FT,Other,83300,US,0,M,0
2024,MI,FT,Other,47500,US,0,M,0
2024,SE,FT,Data Engineer,160000,US,0,M,1
2024,SE,FT,Data Engineer,100000,US,0,M,0
2024,EN,FT,Other,92000,Other,0,M,0
2024,EN,FT,Other,90000,Other,0,M,0
2024,SE,FT,Other,220000,Other,0,M,1
2024,SE,FT,Other,137500,Other,0,M,1
2024,EN,FT,Data Scientist,175100,US,0,M,1
2024,EN,FT,Data Scientist,82915,US,0,M,0
2024,MI,FT,Data Engineer,166000,US,0,M,1
2024,MI,FT,Data Engineer,73000,US,0,M,0
2024,SE,FT,Data Scientist,236400,US,0,M,2
2024,SE,FT,Data Scientist,141800,US,0,M,1
2024,SE,FT,Data Engineer,150000,US,0,M,1
2024,SE,FT,Data Engineer,135000,US,0,M,1
2024,SE,FT,Other,147500,US,100,M,1
2024,SE,FT,Other,70800,US,100,M,0
2024,MI,FT,Other,185000,US,0,L,1
2024,MI,FT,Other,79600,US,0,L,0
2024,EN,FT,Data Analyst,99200,US,100,M,0
2024,EN,FT,Data Analyst,69400,US,100,M,0
2024,EN,FT,Data Analyst,88200,US,100,M,0
2024,EN,FT,Data Analyst,61700,US,100,M,0
2024,SE,FT,Other,234000,US,0,M,2
2024,SE,FT,Other,146000,US,0,M,1
2024,MI,FT,Data Scientist,165000,US,0,M,1
2024,MI,FT,Data Scientist,165000,US,0,M,1
2024,SE,FT,Data Analyst,160000,US,0,M,1
2024,SE,FT,Data Analyst,130000,US,0,M,0
2024,MI,FT,Data Scientist,154800,US,0,M,1
2024,MI,FT,Data Scientist,76300,US,0,M,0
2024,MI,FT,Data Analyst,112000,US,0,M,0
2024,MI,FT,Data Analyst,84000,US,0,M,0
2024,EN,FT,Data Analyst,115000,US,0,M,0
2024,EN,FT,Data Analyst,90000,US,0,M,0
2024,SE,FT,Data Engineer,170000,US,0,M,1
2024,SE,FT,Data Engineer,130000,US,0,M,0
2024,SE,FT,Other,185000,US,0,L,1
2024,SE,FT,Other,79600,US,0,L,0
2024,EN,FT,Data Analyst,160000,US,0,M,1
2024,EN,FT,Data Analyst,110000,US,0,M,0
2024,MI,FT,Data Analyst,95000,US,0,M,0
2024,MI,FT,Data Analyst,65000,US,0,M,0
2024,SE,FT,Other,180000,Other,100,M,1
2024,SE,FT,Other,120000,Other,100,M,0
2024,SE,FT,Data Analyst,155000,US,0,M,1
2024,SE,FT,Data Analyst,100000,US,0,M,0
2024,SE,FT,Data Scientist,190500,Other,100,M,1
2024,SE,FT,Data Scientist,138500,Other,100,M,1
2024,SE,FT,Data Engineer,159000,Other,0,M,1
2024,SE,FT,Data Engineer,127000,Other,0,M,0
2024,EN,FT,Data Analyst,147000,US,0,M,1
2024,EN,FT,Data Analyst,118000,US,0,M,0
2024,EN,FT,Machine Learning Engineer,170000,US,0,M,1
2024,EN,FT,Machine Learning Engineer,125000,US,0,M,0
2024,SE,FT,Other,116000,US,0,M,0
2024,SE,FT,Other,90000,US,0,M,0
2024,SE,FT,Data Engineer,255475,US,100,M,2
2024,SE,FT,Data Engineer,185800,US,100,M,1
2024,MI,FT,Other,85000,US,0,M,0
2024,MI,FT,Other,65000,US,0,M,0
2024,MI,FT,Other,150000,US,0,M,1
2024,MI,FT,Other,120000,US,0,M,0
2024,MI,FT,Other,190000,US,0,M,1
2024,MI,FT,Other,190000,US,0,M,1
2024,MI,FT,Other,440000,US,0,M,4
2024,MI,FT,Other,295000,US,0,M,2
2024,SE,FT,Other,170000,US,100,M,1
2024,SE,FT,Other,140000,US,100,M,1
2024,SE,FT,Data Scientist,165000,US,100,M,1
2024,SE,FT,Data Scientist,140250,US,100,M,1
2024,MI,FT,Other,110300,US,100,M,0
2024,MI,FT,Other,78100,US,100,M,0
2024,MI,FT,Other,210000,US,0,M,1
2024,MI,FT,Other,151800,US,0,M,1
2024,EN,FT,Other,75000,US,0,M,0
2024,EN,FT,Other,65000,US,0,M,0
2024,MI,FT,Data Analyst,140000,US,0,M,1
2024,MI,FT,Data Analyst,105000,US,0,M,0
2024,MI,FT,Other,200000,US,0,L,1
2024,SE,FT,Other,157144,US,0,M,1
2024,SE,FT,Other,99445,US,0,M,0
2024,SE,FT,Data Engineer,211511,Other,0,M,1
2024,SE,FT,Data Engineer,100006,Other,0,M,0
2024,SE,FT,Data Engineer,201900,US,0,M,1
2024,SE,FT,Data Engineer,97335,US,0,M,0
2024,SE,FT,Data Scientist,283800,US,0,M,2
2024,SE,FT,Data Scientist,170700,US,0,M,1
2024,SE,FT,Other,152400,US,100,M,1
2024,SE,FT,Other,73700,US,100,M,0
2024,MI,FT,Data Engineer,166000,US,0,M,1
2024,MI,FT,Data Engineer,73100,US,0,M,0
2024,SE,FT,Data Scientist,202600,US,0,M,1
2024,SE,FT,Data Scientist,93800,US,0,M,0
2024,SE,FT,Data Scientist,273500,US,0,M,2
2024,SE,FT,Data Scientist,126600,US,0,M,0
2024,SE,FT,Other,176875,US,0,M,1
2024,SE,FT,Other,84750,US,0,M,0
2024,MI,FT,Other,166000,US,0,M,1
2024,MI,FT,Other,73100,US,0,M,0
2024,EN,FT,Data Analyst,88200,US,100,M,0
2024,EN,FT,Data Analyst,61700,US,100,M,0
2024,MI,FT,Data Engineer,75000,US,100,M,0
2024,MI,FT,Data Engineer,60000,US,100,M,0
2024,MI,FT,Data Scientist,121500,US,100,M,0
2024,MI,FT,Data Scientist,88200,US,100,M,0
2024,MI,FT,Data Engineer,133000,US,0,M,1
2024,MI,FT,Data Engineer,58300,US,0,M,0
